Designator,Mid X,Mid Y,Rotation,Layer
C1,9.25,5.35,0.0,top
C2,9.85,2.875,90.0,top
C3,14.05,6.025,180.0,top
C4,17.925,2.825,270.0,top
C5,19.375,2.825,270.0,top
C6,11.35,2.875,90.0,top
C7,16.475,2.825,270.0,top
D1,20.825,11.75,180.0,top
D2,24.75,0.35,180.0,top
D3,24.75,13.225,0.0,top
FB1,8.35,2.875,270.0,top
J1,-5.625,6.525,180.0,top
J2,27.0,6.825,270.0,top
R1,14.025,7.625,0.0,top
R2,14.025,9.2,0.0,top
R3,20.825,2.825,90.0,top
R4,12.2875,0.15,180.0,top
R5,22.275,2.825,270.0,top
R6,17.925,11.8,270.0,top
U1,9.825,8.25,180.0,top
U2,13.8875,2.975,270.0,top
U3,19.875,7.45,0.0,top
